5;3;1414;20;4; Как называются морские приливы, наблюдаемые близ новолуния и полнолуния?;
6;3;1656;20;4; Как называются морские приливы, наблюдаемые близ новолуния и полнолуния?;
7;1;923;1;1; Какие возможны причины перегрева двигателя гидроцикла?;
9;1;1011;1;1; Какие возможны причины перегрева двигателя гидроцикла?;
6;2;1729;15;11;В  каких случаях моторное маломерное судно должно уступать дорогу гребной лодке?;
9;5;938;2;2;В каких из ниже перечисленных случаев запрещается запускать двигатель и начинать движение гидроцикла:;
7;5;740;2;2;В каких из ниже перечисленных случаев запрещается запускать двигатель и начинать движение гидроцикла:;
8;5;1022;2;2;В каких из ниже перечисленных случаев запрещается запускать двигатель и начинать движение гидроцикла?;
4;5;681;9;7;В каких из перечисленных случаев производится повторная государственная регистрация маломерного судна?;
2;5;99;10;9;В каких из перечисленных случаев производиться повторная государственная регистрация маломерного судна?;
1;2;255;6;5;В каких из следующих случаев существует опасность столкновения с приближающимся судном?;
3;2;475;6;5;В каких из следующих случаев существует опасность столкновения с приближающимся судном?;
5;2;1367;16;5;В каких из следующих случаев существует опасность столкновения с приближающимся судном?;
6;2;1609;16;5;В каких из следующих случаев существует опасность столкновения с приближающимся судном?;
3;4;596;14;14;В каких из этих случаев закрыт проход судам, идущим cверху?;
6;4;1728;14;16;В каких из этих случаев закрыт проход судам, идущим cверху?;
6;4;1747;19;16;В каких из этих случаев закрыт проход судам, идущим cверху?;
2;4;48;5;8;В каких из этих случаев закрыт проход судам, идущим сверху?;
2;5;173;18;3;В каких пределах маломерное судно может следовать по судовому ходу вдоль правой по ходу кромке, если по условиям пути следования за пределами судового хода невозможно?;
9;5;951;3;9;В каких случаях гидроциклу  можно заходить и маневрировать на акватории пляжей?;
7;5;753;3;7;В каких случаях гидроциклу  можно заходить и маневрировать на акватории пляжей?;
8;5;1035;3;7;В каких случаях гидроциклу можно заходить и маневрировать на акватории пляжей?;
7;5;804;10;2;В каких случаях запрещается запускать двигатель и начинать движение гидроцикла?;
8;5;1086;10;2;В каких случаях запрещается запускать двигатель и начинать движение гидроцикла?;
9;5;1002;10;2;В каких случаях запрещается запускать двигатель и начинать движение гидроцикла?;
2;2;63;7;3;В каких случаях моторное маломерное судно должно уступать дорогу гребной лодке?;
3;2;607;15;11;В каких случаях моторное маломерное судно должно уступать дорогу гребной лодке?;
4;2;671;8;5;В каких случаях моторное маломерное судно должно уступать дорогу гребной лодке?;
4;2;695;11;5;В каких случаях моторное маломерное судно должно уступать дорогу гребной лодке?;
4;1;717;14;3;В каких случаях на маломерных судах используются во время плавания деревянные пробки и клинья?;
7;5;796;9;2;В каких случаях обязательно необходимо отсоединить шнур безопасности от выключателя?;
8;5;1079;9;2;В каких случаях обязательно необходимо отсоединить шнур безопасности от выключателя?;
9;5;994;9;2;В каких случаях обязательно необходимо отсоединить шнур безопасности от выключателя?;
2;5;59;6;9;В каких случаях после зимовки можно начинать эксплуатировать судно в мае месяце без прохождения технического освидетельствования?;
4;5;705;12;7;В каких случаях после зимовки можно начинать эксплуатировать судно в мае месяце без прохождения технического освидетельствования?;
4;5;729;15;7;В каких случаях разрешается заходить на маломерном судне в зону пляжа?;
9;5;955;4;3;В каких целях судоводители (водители гидроциклов) должны принимать все меры предосторожности во время плавания?;
7;5;757;4;3;В каких целях судоводители (водители гидроциклов) должны принимать все меры предосторожности во время плавания?;
3;4;434;3;6;В какой стороне находится основной фарватер  (система МАМС)?;
3;4;546;11;6;В какой стороне необходимо оставить этот буй  (система МАМС)?;
3;4;1112;17;6;В какой стороне необходимо оставить этот буй  (система МАМС)?;
3;4;1126;18;6;В какой стороне необходимо оставить этот буй  (система МАМС)?;
3;4;420;2;6;В какой стороне необходимо оставить этот буй (система МАМС)?;
5;4;1296;10;6;В какой стороне необходимо оставить этот буй (система МАМС)?;
5;4;1404;19;6;В какой стороне необходимо оставить этот буй (система МАМС)?;
5;4;1416;20;6;В какой стороне необходимо оставить этот буй (система МАМС)?;
5;4;1423;4;6;В какой стороне необходимо оставить этот буй (система МАМС)?;
6;4;1538;10;6;В какой стороне необходимо оставить этот буй (система МАМС)?;
6;4;1646;19;6;В какой стороне необходимо оставить этот буй (система МАМС)?;
6;4;1658;20;6;В какой стороне необходимо оставить этот буй (система МАМС)?;
6;4;1664;4;6;В какой стороне необходимо оставить этот буй (система МАМС)?;
2;4;137;14;7;В какой стороне необходимо оставить этот буй в устье крупной реки?;
1;4;216;2;6;В какой стороне необходимо оставить этот буй?;
1;4;306;11;6;В какой стороне необходимо оставить этот буй?;
1;4;376;18;6;В какой стороне необходимо оставить этот буй?;
1;4;366;17;6;В какой стороне необходимо оставить этот буй? ;
2;4;107;11;7;В какой стороне необходимо оставить этот плавучий знак, выставленный в морском устье крупной реки?;
2;4;147;15;7;В какой стороне необходимо оставить этот плавучий знак, выставленный в морском устье реки?;
3;4;560;12;6;В какой стороне необходимо оставить эту веху (система МАМС)?;
5;4;1308;11;6;В какой стороне необходимо оставить эту веху (система МАМС)?;
6;4;1550;11;6;В какой стороне необходимо оставить эту веху (система МАМС)?;
1;4;316;12;6;В какой стороне необходимо оставить эту веху? ;
1;4;226;3;6;В какой стороне относительно этого буя находится основной фарватер?;
4;1;620;2;2;В каком  из изображенных случаев судно имеет отрицательную рстойчивость?;
3;4;1140;19;6;В каком генеральном направлении следует катер (система МАМС)?;
5;4;1392;18;6;В каком генеральном направлении следует катер (система МАМС)?;
6;4;1634;18;6;В каком генеральном направлении следует катер (система МАМС)?;
1;4;386;19;6;В каком генеральном направлении следует катер?;
